id,ACTION
1,0.929074
2,0.944079
3,0.944079
4,0.941982
5,0.944232
6,0.944079
7,0.938853
8,0.944901
9,0.934182
10,0.943349
11,0.943136
12,0.943412
13,0.942997
14,0.942997
15,0.944079
16,0.944079
17,0.942997
18,0.943349
19,0.944079
20,0.944079
21,0.944449
22,0.944079
23,0.943322
24,0.943136
25,0.943866
26,0.943231
27,0.943975
28,0.928453
29,0.944188
30,0.943975
31,0.944260
32,0.944079
33,0.944079
34,0.944188
35,0.944260
36,0.943866
37,0.944079
38,0.943702
39,0.942389
40,0.942881
41,0.942117
42,0.943231
43,0.942389
44,0.944260
45,0.943349
46,0.943092
47,0.944079
48,0.942389
49,0.944898
50,0.943975
51,0.942217
52,0.944260
53,0.944260
54,0.943866
55,0.941543
56,0.936978
57,0.944260
58,0.944232
59,0.943975
60,0.943231
61,0.944359
62,0.943959
63,0.942389
64,0.944079
65,0.944177
66,0.944079
67,0.943866
68,0.944079
69,0.943349
70,0.942389
71,0.944079
72,0.944232
73,0.943866
74,0.944260
75,0.944079
76,0.943866
77,0.944079
78,0.939856
79,0.927095
80,0.943136
81,0.944079
82,0.943349
83,0.943866
84,0.944079
85,0.943866
86,0.936978
87,0.944079
88,0.944079
89,0.944232
90,0.943866
91,0.944079
92,0.943046
93,0.944079
94,0.941337
95,0.943567
96,0.942997
97,0.933633
98,0.943975
99,0.944079
100,0.943136
101,0.944079
102,0.933496
103,0.943349
104,0.942117
105,0.943231
106,0.944079
107,0.944079
108,0.943349
109,0.944188
110,0.943136
111,0.943136
112,0.944188
113,0.943349
114,0.944079
115,0.944079
116,0.944544
117,0.944544
118,0.943231
119,0.944079
120,0.943340
121,0.943866
122,0.944079
123,0.943108
124,0.944079
125,0.943384
126,0.940055
127,0.937080
128,0.942117
129,0.942997
130,0.942511
131,0.944232
132,0.944146
133,0.943349
134,0.942997
135,0.944079
136,0.943349
137,0.944260
138,0.944079
139,0.942997
140,0.944079
141,0.943323
142,0.943975
143,0.944188
144,0.943866
145,0.944079
146,0.936489
147,0.938260
148,0.943354
149,0.944232
150,0.939363
151,0.944079
152,0.944079
153,0.944285
154,0.943349
155,0.943136
156,0.943349
157,0.943866
158,0.944079
159,0.944079
160,0.944079
161,0.939590
162,0.944079
163,0.943975
164,0.943349
165,0.943975
166,0.944079
167,0.943349
168,0.943349
169,0.944048
170,0.943975
171,0.944079
172,0.944020
173,0.944079
174,0.943975
175,0.944359
176,0.944232
177,0.942389
178,0.944079
179,0.944199
180,0.938260
181,0.935553
182,0.942511
183,0.939249
184,0.944079
185,0.944232
186,0.937693
187,0.944079
188,0.942686
189,0.944079
190,0.944232
191,0.944079
192,0.942997
193,0.944232
194,0.943136
195,0.944079
196,0.944079
197,0.944079
198,0.943412
199,0.944232
200,0.933685
201,0.943866
202,0.943866
203,0.942389
204,0.943349
205,0.943866
206,0.943866
207,0.944260
208,0.943349
209,0.937498
210,0.944079
211,0.944079
212,0.942117
213,0.944020
214,0.943766
215,0.943627
216,0.943627
217,0.943567
218,0.944188
219,0.944079
220,0.943866
221,0.943866
222,0.944232
223,0.943866
224,0.942117
225,0.944188
226,0.939298
227,0.942389
228,0.943899
229,0.944232
230,0.944260
231,0.943349
232,0.944079
233,0.944148
234,0.928260
235,0.943555
236,0.942389
237,0.943349
238,0.944260
239,0.943136
240,0.944260
241,0.943975
242,0.916221
243,0.928828
244,0.943349
245,0.940762
246,0.945110
247,0.944254
248,0.943231
249,0.944188
250,0.944260
251,0.944079
252,0.939166
253,0.943866
254,0.943866
255,0.944020
256,0.943975
257,0.944079
258,0.942997
259,0.942067
260,0.944232
261,0.944079
262,0.943866
263,0.943866
264,0.944079
265,0.943975
266,0.943349
267,0.944260
268,0.944079
269,0.944188
270,0.944260
271,0.944260
272,0.943866
273,0.943766
274,0.940466
275,0.944232
276,0.933171
277,0.943866
278,0.943866
279,0.943975
280,0.943349
281,0.944232
282,0.943766
283,0.937977
284,0.943349
285,0.944079
286,0.944079
287,0.944901
288,0.943384
289,0.941112
290,0.943975
291,0.942389
292,0.944079
293,0.944232
294,0.944079
295,0.944079
296,0.939207
297,0.907407
298,0.944079
299,0.940298
300,0.944079
301,0.941356
302,0.944079
303,0.927163
304,0.941342
305,0.944079
306,0.943627
307,0.943866
308,0.944688
309,0.943092
310,0.944079
311,0.943866
312,0.942997
313,0.943349
314,0.942997
315,0.944020
316,0.944079
317,0.943092
318,0.944048
319,0.941855
320,0.943866
321,0.944079
322,0.934799
323,0.944079
324,0.944188
325,0.938196
326,0.942083
327,0.944901
328,0.944260
329,0.944079
330,0.944260
331,0.944079
332,0.943136
333,0.944079
334,0.942389
335,0.944079
336,0.943349
337,0.942759
338,0.944079
339,0.943567
340,0.942997
341,0.944048
342,0.944260
343,0.942997
344,0.944079
345,0.944901
346,0.944079
347,0.944079
348,0.942881
349,0.944232
350,0.941569
351,0.942421
352,0.943377
353,0.944079
354,0.918693
355,0.944260
356,0.944079
357,0.943349
358,0.942997
359,0.944260
360,0.919615
361,0.944079
362,0.944048
363,0.944079
364,0.923457
365,0.944079
366,0.944079
367,0.944188
368,0.942685
369,0.943349
370,0.943392
371,0.943866
372,0.944079
373,0.918364
374,0.944079
375,0.943866
376,0.944079
377,0.912838
378,0.944079
379,0.944232
380,0.943349
381,0.941112
382,0.942389
383,0.945110
384,0.941630
385,0.942997
386,0.944232
387,0.944079
388,0.943169
389,0.944079
390,0.943866
391,0.937412
392,0.945010
393,0.944079
394,0.944232
395,0.942988
396,0.944466
397,0.944079
398,0.944079
399,0.943555
400,0.943866
401,0.944188
402,0.944079
403,0.944260
404,0.944232
405,0.944232
406,0.943136
407,0.943766
408,0.944232
409,0.943866
410,0.942997
411,0.944232
412,0.943349
413,0.942389
414,0.943349
415,0.944079
416,0.944344
417,0.943866
418,0.943784
419,0.943975
420,0.944079
421,0.943959
422,0.942997
423,0.942997
424,0.942389
425,0.944079
426,0.944079
427,0.944048
428,0.943136
429,0.943866
430,0.944079
431,0.944079
432,0.940196
433,0.943349
434,0.943136
435,0.943975
436,0.944898
437,0.942389
438,0.890515
439,0.942997
440,0.934265
441,0.944079
442,0.944079
443,0.944079
444,0.944079
445,0.935210
446,0.944260
447,0.942389
448,0.944079
449,0.944367
450,0.943621
451,0.940359
452,0.943136
453,0.944079
454,0.942259
455,0.943975
456,0.944232
457,0.943866
458,0.942511
459,0.943866
460,0.943866
461,0.937428
462,0.944020
463,0.943567
464,0.943975
465,0.944079
466,0.944260
467,0.920484
468,0.943866
469,0.944079
470,0.944079
471,0.943136
472,0.943866
473,0.944079
474,0.943384
475,0.944079
476,0.940762
477,0.944232
478,0.942527
479,0.944020
480,0.943866
481,0.943866
482,0.943136
483,0.944232
484,0.944260
485,0.944079
486,0.943349
487,0.942997
488,0.944079
489,0.943866
490,0.943349
491,0.942389
492,0.943866
493,0.941543
494,0.943866
495,0.943208
496,0.945178
497,0.943866
498,0.944260
499,0.944079
500,0.944079
501,0.944188
502,0.943866
503,0.944079
504,0.943975
505,0.943412
506,0.944232
507,0.944079
508,0.943866
509,0.943136
510,0.914173
511,0.939938
512,0.944079
513,0.943866
514,0.940298
515,0.943349
516,0.944079
517,0.944079
518,0.944079
519,0.943866
520,0.942389
521,0.944285
522,0.943866
523,0.943866
524,0.908850
525,0.943349
526,0.927071
527,0.943866
528,0.944079
529,0.939377
530,0.944079
531,0.942389
532,0.942997
533,0.943866
534,0.936978
535,0.944188
536,0.943866
537,0.944901
538,0.942997
539,0.944254
540,0.943349
541,0.942117
542,0.944079
543,0.943349
544,0.943866
545,0.943975
546,0.943866
547,0.942288
548,0.941992
549,0.940762
550,0.943349
551,0.944079
552,0.943136
553,0.944079
554,0.941523
555,0.943975
556,0.943349
557,0.944020
558,0.943136
559,0.943349
560,0.943866
561,0.942117
562,0.944232
563,0.944466
564,0.938256
565,0.943866
566,0.938493
567,0.944079
568,0.941143
569,0.942389
570,0.943169
571,0.914595
572,0.941786
573,0.942501
574,0.941330
575,0.944232
576,0.944079
577,0.944188
578,0.943866
579,0.941330
580,0.942997
581,0.944079
582,0.944188
583,0.944079
584,0.944079
585,0.944260
586,0.944285
587,0.944079
588,0.942997
589,0.944367
590,0.943567
591,0.944079
592,0.943866
593,0.939590
594,0.941746
595,0.944232
596,0.944188
597,0.944079
598,0.929451
599,0.943866
600,0.943349
601,0.943866
602,0.942117
603,0.944232
604,0.944079
605,0.942117
606,0.943866
607,0.943866
608,0.943866
609,0.944188
610,0.944079
611,0.944260
612,0.943975
613,0.943555
614,0.940304
615,0.944079
616,0.943349
617,0.943975
618,0.941330
619,0.943447
620,0.943975
621,0.944079
622,0.944079
623,0.943349
624,0.943349
625,0.942117
626,0.944260
627,0.942997
628,0.943567
629,0.943555
630,0.943866
631,0.943866
632,0.944260
633,0.944079
634,0.944260
635,0.941543
636,0.944260
637,0.944079
638,0.944079
639,0.938140
640,0.944232
641,0.943975
642,0.943112
643,0.944188
644,0.944171
645,0.943136
646,0.942389
647,0.943136
648,0.942997
649,0.944079
650,0.935001
651,0.943866
652,0.943866
653,0.939940
654,0.944079
655,0.944079
656,0.944232
657,0.942881
658,0.944079
659,0.944232
660,0.944079
661,0.944079
662,0.944079
663,0.944079
664,0.944188
665,0.943354
666,0.943866
667,0.940762
668,0.943567
669,0.943349
670,0.942259
671,0.942389
672,0.943412
673,0.938931
674,0.943866
675,0.944079
676,0.943975
677,0.943169
678,0.943866
679,0.944079
680,0.944079
681,0.943866
682,0.916528
683,0.943349
684,0.943866
685,0.943845
686,0.943322
687,0.942389
688,0.944079
689,0.944079
690,0.942997
691,0.944020
692,0.943249
693,0.942421
694,0.944079
695,0.944079
696,0.933283
697,0.944901
698,0.943975
699,0.944048
700,0.944260
701,0.943866
702,0.944232
703,0.942997
704,0.943975
705,0.943627
706,0.929994
707,0.944232
708,0.944232
709,0.944079
710,0.944079
711,0.944053
712,0.943866
713,0.944079
714,0.944232
715,0.944079
716,0.920589
717,0.944171
718,0.943975
719,0.944260
720,0.942997
721,0.943231
722,0.943866
723,0.943231
724,0.942389
725,0.943866
726,0.944079
727,0.943231
728,0.944232
729,0.943627
730,0.943349
731,0.941556
732,0.944079
733,0.943866
734,0.944232
735,0.939203
736,0.943349
737,0.942389
738,0.943866
739,0.943975
740,0.944079
741,0.944188
742,0.944079
743,0.944079
744,0.943975
745,0.943866
746,0.943555
747,0.942997
748,0.944079
749,0.944079
750,0.944232
751,0.943231
752,0.944079
753,0.943866
754,0.944079
755,0.944079
756,0.943289
757,0.944232
758,0.944188
759,0.943231
760,0.943866
761,0.943129
762,0.943766
763,0.944079
764,0.943349
765,0.943866
766,0.941797
767,0.944079
768,0.944020
769,0.944688
770,0.943384
771,0.944232
772,0.942389
773,0.943975
774,0.943754
775,0.944079
776,0.931788
777,0.943866
778,0.943567
779,0.943231
780,0.937744
781,0.918087
782,0.943866
783,0.944020
784,0.940770
785,0.931555
786,0.943555
787,0.943349
788,0.942117
789,0.944079
790,0.944260
791,0.943866
792,0.944079
793,0.941543
794,0.944048
795,0.943231
796,0.936978
797,0.944079
798,0.944079
799,0.943108
800,0.944285
801,0.943627
802,0.944079
803,0.943627
804,0.943866
805,0.944079
806,0.943866
807,0.907732
808,0.941330
809,0.944079
810,0.944260
811,0.944079
812,0.943231
813,0.944232
814,0.943784
815,0.926221
816,0.944232
817,0.943866
818,0.944079
819,0.943349
820,0.943349
821,0.944188
822,0.944079
823,0.944079
824,0.944232
825,0.944020
826,0.940836
827,0.944079
828,0.943092
829,0.943384
830,0.943975
831,0.944232
832,0.944901
833,0.943975
834,0.941843
835,0.943866
836,0.944285
837,0.943975
838,0.944079
839,0.942997
840,0.943866
841,0.944232
842,0.943975
843,0.944232
844,0.943975
845,0.943975
846,0.944285
847,0.935443
848,0.944079
849,0.944079
850,0.939611
851,0.943866
852,0.944079
853,0.941414
854,0.907297
855,0.943349
856,0.943866
857,0.943340
858,0.944079
859,0.943866
860,0.944232
861,0.944232
862,0.942389
863,0.943349
864,0.944079
865,0.937667
866,0.922340
867,0.943975
868,0.944079
869,0.944260
870,0.944048
871,0.943349
872,0.942389
873,0.943866
874,0.939360
875,0.944020
876,0.944079
877,0.943866
878,0.942389
879,0.942389
880,0.943349
881,0.943349
882,0.944079
883,0.944079
884,0.944079
885,0.942117
886,0.944020
887,0.931411
888,0.944466
889,0.944232
890,0.945110
891,0.943103
892,0.944079
893,0.942389
894,0.944232
895,0.942997
896,0.944079
897,0.944079
898,0.942889
899,0.944260
900,0.944260
901,0.943567
902,0.944079
903,0.944079
904,0.944260
905,0.942948
906,0.944048
907,0.943866
908,0.945110
909,0.944079
910,0.943975
911,0.944260
912,0.942997
913,0.944079
914,0.944048
915,0.943567
916,0.943866
917,0.944079
918,0.943136
919,0.943975
920,0.944079
921,0.943866
922,0.944079
923,0.932648
924,0.934133
925,0.930883
926,0.944232
927,0.943349
928,0.944188
929,0.944466
930,0.944079
931,0.944079
932,0.943136
933,0.944048
934,0.944079
935,0.943231
936,0.918087
937,0.944079
938,0.944079
939,0.940304
940,0.943866
941,0.944079
942,0.943975
943,0.920879
944,0.944260
945,0.941724
946,0.943866
947,0.943866
948,0.918808
949,0.943136
950,0.944079
951,0.944079
952,0.941869
953,0.944079
954,0.944079
955,0.944079
956,0.941652
957,0.943754
958,0.942988
959,0.934140
960,0.942389
961,0.941497
962,0.944079
963,0.944079
964,0.942117
965,0.926265
966,0.937412
967,0.943384
968,0.943975
969,0.944079
970,0.944260
971,0.943866
972,0.944079
973,0.943866
974,0.944079
975,0.943136
976,0.943866
977,0.938140
978,0.944079
979,0.943349
980,0.914018
981,0.944079
982,0.943349
983,0.944901
984,0.936044
985,0.944048
986,0.943349
987,0.944171
988,0.939732
989,0.943866
990,0.944260
991,0.930712
992,0.943627
993,0.944232
994,0.944285
995,0.943866
996,0.944079
997,0.930960
998,0.942988
999,0.943322
1000,0.944079
1001,0.944079
1002,0.943866
1003,0.944079
1004,0.943866
1005,0.944188
1006,0.942389
1007,0.944188
1008,0.944079
1009,0.944079
1010,0.941615
1011,0.944232
1012,0.939954
1013,0.944019
1014,0.943349
1015,0.943866
1016,0.944901
1017,0.931671
1018,0.942329
1019,0.943349
1020,0.943866
1021,0.943231
1022,0.943866
1023,0.929451
1024,0.944188
1025,0.944232
1026,0.943136
1027,0.943975
1028,0.944260
1029,0.944079
1030,0.943384
1031,0.943412
1032,0.943866
1033,0.944079
1034,0.942997
1035,0.944232
1036,0.944079
1037,0.941556
1038,0.944079
1039,0.943349
1040,0.944079
1041,0.943349
1042,0.944079
1043,0.930008
1044,0.935256
1045,0.928011
1046,0.943349
1047,0.944188
1048,0.943136
1049,0.929074
1050,0.943866
1051,0.944079
1052,0.943866
1053,0.944260
1054,0.943866
1055,0.943975
1056,0.942997
1057,0.943349
1058,0.943866
1059,0.943866
1060,0.943349
1061,0.942590
1062,0.944079
1063,0.936706
1064,0.943766
1065,0.943866
1066,0.944260
1067,0.942382
1068,0.943136
1069,0.943169
1070,0.943774
1071,0.944079
1072,0.944232
1073,0.942997
1074,0.940861
1075,0.944079
1076,0.943231
1077,0.944079
1078,0.944260
1079,0.943866
1080,0.942389
1081,0.944929
1082,0.944359
1083,0.943866
1084,0.944079
1085,0.917318
1086,0.944232
1087,0.944260
1088,0.944260
1089,0.943866
1090,0.944188
1091,0.944079
1092,0.944901
1093,0.943866
1094,0.944079
1095,0.945110
1096,0.943899
1097,0.944232
1098,0.943866
1099,0.944079
1100,0.942901
1101,0.942997
1102,0.943461
1103,0.944232
1104,0.943349
1105,0.943866
1106,0.944079
1107,0.944260
1108,0.944260
1109,0.944079
1110,0.943231
1111,0.944260
1112,0.944079
1113,0.944188
1114,0.944079
1115,0.943129
1116,0.944079
1117,0.942389
1118,0.942389
1119,0.941543
1120,0.943340
1121,0.943866
1122,0.943340
1123,0.939590
1124,0.943412
1125,0.943866
1126,0.940762
1127,0.943866
1128,0.944260
1129,0.944079
1130,0.944232
1131,0.944232
1132,0.942389
1133,0.944020
1134,0.944232
1135,0.939941
1136,0.944079
1137,0.944260
1138,0.944020
1139,0.944232
1140,0.942880
1141,0.943627
1142,0.943975
1143,0.944048
1144,0.944079
1145,0.944079
1146,0.944232
1147,0.943866
1148,0.938051
1149,0.943975
1150,0.943866
1151,0.944048
1152,0.944079
1153,0.944232
1154,0.917095
1155,0.944232
1156,0.944188
1157,0.943231
1158,0.943975
1159,0.943627
1160,0.942389
1161,0.943975
1162,0.943975
1163,0.943349
1164,0.943784
1165,0.944260
1166,0.944466
1167,0.944232
1168,0.944079
1169,0.944079
1170,0.944260
1171,0.943975
1172,0.944079
1173,0.944079
1174,0.944232
1175,0.944079
1176,0.943349
1177,0.944079
1178,0.943349
1179,0.944260
1180,0.936601
1181,0.944643
1182,0.944079
1183,0.944079
1184,0.939345
1185,0.944020
1186,0.944260
1187,0.943384
1188,0.903202
1189,0.944079
1190,0.944079
1191,0.944232
1192,0.944079
1193,0.944020
1194,0.944079
1195,0.940762
1196,0.943340
1197,0.943384
1198,0.944079
1199,0.944171
1200,0.944232
1201,0.944079
1202,0.926880
1203,0.943975
1204,0.944260
1205,0.943349
1206,0.944151
1207,0.943866
1208,0.944260
1209,0.944079
1210,0.943231
1211,0.942389
1212,0.943349
1213,0.944260
1214,0.944260
1215,0.944232
1216,0.944079
1217,0.944079
1218,0.943231
1219,0.944079
1220,0.944079
1221,0.943555
1222,0.944079
1223,0.944079
1224,0.943866
1225,0.944079
1226,0.942759
1227,0.944367
1228,0.940762
1229,0.943866
1230,0.944079
1231,0.944260
1232,0.943866
1233,0.945110
1234,0.943866
1235,0.943866
1236,0.934695
1237,0.944079
1238,0.944079
1239,0.944232
1240,0.944188
1241,0.944285
1242,0.943349
1243,0.944079
1244,0.944232
1245,0.944079
1246,0.941569
1247,0.944048
1248,0.944232
1249,0.942389
1250,0.944020
1251,0.943354
1252,0.944079
1253,0.943231
1254,0.943866
1255,0.944048
1256,0.944020
1257,0.933805
1258,0.944079
1259,0.941145
1260,0.944171
1261,0.944079
1262,0.942389
1263,0.943975
1264,0.942997
1265,0.944079
1266,0.943866
1267,0.944901
1268,0.943136
1269,0.944079
1270,0.944232
1271,0.942997
1272,0.944079
1273,0.944079
1274,0.943567
1275,0.944079
1276,0.943975
1277,0.944079
1278,0.943349
1279,0.944260
1280,0.944079
1281,0.944048
1282,0.944260
1283,0.942997
1284,0.943231
1285,0.943231
1286,0.942997
1287,0.894326
1288,0.936978
1289,0.939938
1290,0.943866
1291,0.944260
1292,0.940762
1293,0.944048
1294,0.942997
1295,0.944466
1296,0.941955
1297,0.944260
1298,0.943866
1299,0.943349
1300,0.939144
1301,0.944232
1302,0.938022
1303,0.944079
1304,0.944079
1305,0.943349
1306,0.944188
1307,0.943866
1308,0.943231
1309,0.944352
1310,0.944079
1311,0.939153
1312,0.944260
1313,0.941295
1314,0.941073
1315,0.944232
1316,0.944260
1317,0.944079
1318,0.944188
1319,0.944260
1320,0.944079
1321,0.944330
1322,0.945010
1323,0.944901
1324,0.944260
1325,0.944079
1326,0.944079
1327,0.944260
1328,0.944188
1329,0.944079
1330,0.943899
1331,0.944079
1332,0.943866
1333,0.938111
1334,0.944079
1335,0.923513
1336,0.943349
1337,0.943866
1338,0.944079
1339,0.921557
1340,0.937588
1341,0.943975
1342,0.944260
1343,0.943136
1344,0.943349
1345,0.944020
1346,0.944260
1347,0.944188
1348,0.944188
1349,0.944188
1350,0.943349
1351,0.939203
1352,0.942997
1353,0.944260
1354,0.944079
1355,0.943866
1356,0.943627
1357,0.944079
1358,0.942117
1359,0.925830
1360,0.943354
1361,0.943349
1362,0.944394
1363,0.943092
1364,0.944232
1365,0.944232
1366,0.944079
1367,0.944079
1368,0.943567
1369,0.944260
1370,0.942389
1371,0.944260
1372,0.942997
1373,0.941621
1374,0.940762
1375,0.944901
1376,0.944285
1377,0.943975
1378,0.943866
1379,0.944079
1380,0.943231
1381,0.944260
1382,0.943349
1383,0.944359
1384,0.943975
